Name,Date,Region,Strain
EPI_ISL_1095451,2021.0575342465754,Europe,A/barnacle_goose/Sweden/SVA210126SZ0462/KN000202/2021
EPI_ISL_1095453,2020.877049180328,Europe,A/Turkey/Sweden/SVA201118SZ0002/KN305633-IP1/2020
EPI_ISL_1095454,2021.1123287671232,Europe,A/Common_buzzard/Sweden/SVA210212SZ0284/KN000390/2021
EPI_ISL_1098830,2021.0493150684931,Asia,A/crane/Kagoshima/KU-93/2021
EPI_ISL_1114725,2021.041095890411,Asia,A/mallard/Kagoshima/KU-d89/2021
EPI_ISL_1114735,2020.7349726775956,Europe,A/chicken/Tyumen/302-01/2020
EPI_ISL_1114736,2020.7349726775956,Europe,A/chicken/Tyumen/302-02/2020
EPI_ISL_1114737,2020.792349726776,Europe,A/chicken/Kostroma/304-01/2020
EPI_ISL_1114738,2020.792349726776,Europe,A/chicken/Kostroma/304-03/2020
EPI_ISL_1114740,2020.792349726776,Europe,A/chicken/Kostroma/304-04/2020
EPI_ISL_1114741,2020.792349726776,Europe,A/chicken/Kostroma/304-06/2020
EPI_ISL_1114742,2020.792349726776,Europe,A/chicken/Kostroma/304-08/2020
EPI_ISL_1114745,2020.792349726776,Europe,A/chicken/Kostroma/304-10/2020
EPI_ISL_1114746,2020.8142076502731,Europe,A/chicken/Rostov-on-Don/308-02/2020
EPI_ISL_1114747,2020.8142076502731,Europe,A/chicken/Rostov-on-Don/308-03/2020
EPI_ISL_1114748,2020.8142076502731,Europe,A/chicken/Rostov-on-Don/308-04/2020
EPI_ISL_1114749,2020.9426229508197,Europe,A/turkey/Stavropol/320-01/2020
EPI_ISL_1114750,2020.9426229508197,Europe,A/turkey/Stavropol/320-02/2020
EPI_ISL_1114751,2020.9426229508197,Europe,A/turkey/Stavropol/320-03/2020
EPI_ISL_1114752,2020.9972677595629,Europe,A/mute_swan/North_Ossetia-Alania/325-01/2020
EPI_ISL_1114753,2020.9972677595629,Europe,A/mute_swan/North_Ossetia-Alania/325-02/2020
EPI_ISL_1114754,2020.9972677595629,Europe,A/mute_swan/North_Ossetia-Alania/325-03/2020
EPI_ISL_1114755,2021.0767123287671,Europe,A/turkey/Rostov-on-Don/332-08/2021
EPI_ISL_1114756,2021.0767123287671,Europe,A/turkey/Rostov-on-Don/332-08/2021
EPI_ISL_1114757,2021.0767123287671,Europe,A/turkey/Rostov-on-Don/332-09/2021
EPI_ISL_1114758,2021.0767123287671,Europe,A/turkey/Rostov-on-Don/332-10/2021
EPI_ISL_1114759,2021.0767123287671,Europe,A/turkey/Rostov-on-Don/332-12/2021
EPI_ISL_1114760,2021.0109589041097,Europe,A/chicken/Krasnodar/334-01/2021
EPI_ISL_1114761,2021.0109589041097,Europe,A/chicken/Krasnodar/334-02/2021
EPI_ISL_1114762,2021.0109589041097,Europe,A/chicken/Krasnodar/334-02/2021
EPI_ISL_1114763,2021.0109589041097,Europe,A/chicken/Krasnodar/334-03/2021
EPI_ISL_1123263,2020.9562841530055,Europe,A/chicken/Scotland/043405/2020
EPI_ISL_1123350,2020.9590163934427,Europe,A/chicken/England/043683/2020
EPI_ISL_1123351,2020.9617486338798,Europe,A/duck/England/043628/2020
EPI_ISL_1123352,2020.98087431694,Europe,A/chicken/England/045984/2020
EPI_ISL_1123353,2020.9863387978141,Europe,A/duck/England/046311/2020
EPI_ISL_1123355,2021.0712328767124,Europe,A/pheasant/Wales/000252/2021
EPI_ISL_1123357,2020.8524590163934,Europe,A/brent_goose/England/233339/2020
EPI_ISL_1123359,2020.8579234972678,Europe,A/mute_swan/England/263814/2020
EPI_ISL_1123360,2020.9153005464482,Europe,A/mute_swan/England/234135/2020
EPI_ISL_1139014,2020.8196721311476,Europe,A/barnacle_goose/Netherlands/20016511-002/2020
EPI_ISL_1139015,2020.8169398907103,Europe,A/wild_bird/Netherlands/20016515-002/2020
EPI_ISL_1139016,2020.8196721311476,Europe,A/mute_swan/Netherlands/20016516-001/2020
EPI_ISL_1139017,2020.8224043715848,Europe,A/mute_swan/Netherlands/20016634-001/2020
EPI_ISL_1139018,2020.8224043715848,Europe,A/cormorant/Netherlands/20016582-005/2020
EPI_ISL_1139019,2020.8224043715848,Europe,A/mute_swan/Netherlands/20016618-001/2020
EPI_ISL_1139020,2020.8251366120219,Europe,A/greylag_goose/Netherlands/20016756-001/2020
EPI_ISL_1139021,2020.8251366120219,Europe,A/eurasian_wigeon/Netherlands/20016758-001/2020
EPI_ISL_1139022,2020.8251366120219,Europe,A/barnacle_goose/Netherlands/20016888-001/2020
EPI_ISL_1139023,2020.8360655737704,Europe,A/short-eared_owl/Netherlands/20016896-017/2020
EPI_ISL_1139024,2020.8360655737704,Europe,A/mute_swan/Netherlands/20016973-001/2020
EPI_ISL_1139025,2020.8360655737704,Europe,A/barnacle_goose/Netherlands/20016974-002/2020
EPI_ISL_1139026,2020.8360655737704,Europe,A/greylag_goose/Netherlands/20016975-004/2020
EPI_ISL_1139027,2020.8387978142077,Europe,A/egyptian_goose/Netherlands/20017027-002/2020
EPI_ISL_1139028,2020.8387978142077,Europe,A/barnacle_goose/Netherlands/20017051-001/2020
EPI_ISL_1139029,2020.8387978142077,Europe,A/barnacle_goose/Netherlands/20017051-006/2020
EPI_ISL_1139030,2020.8387978142077,Europe,A/barnacle_goose/Netherlands/20017052-001/2020
EPI_ISL_1139031,2020.8415300546449,Europe,A/mute_swan/Netherlands/20017131-006/2020
EPI_ISL_1139032,2020.8415300546449,Europe,A/barnacle_goose/Netherlands/20017159-006/2020
EPI_ISL_1139033,2020.8469945355191,Europe,A/greylag_goose/Netherlands/20017399-006/2020
EPI_ISL_1139034,2020.8497267759562,Europe,A/barnacle_goose/Netherlands/20017405-002/2020
EPI_ISL_1139035,2020.827868852459,Europe,A/greylag_goose/Netherlands/20016877-001/2020
EPI_ISL_1139036,2020.8306010928961,Europe,A/brant_goose/Netherlands/20016948-002/2020
EPI_ISL_1139037,2020.8306010928961,Europe,A/barnacle_goose/Netherlands/20016951-001/2020
EPI_ISL_1139038,2020.8360655737704,Europe,A/wild_goose/Netherlands/20016959-001/2020
EPI_ISL_1139039,2020.8360655737704,Europe,A/mute_swan/Netherlands/20016960-001/2020
EPI_ISL_1139040,2020.8360655737704,Europe,A/mute_swan/Netherlands/20017061-001/2020
EPI_ISL_1139041,2020.8387978142077,Europe,A/greylag_goose/Netherlands/20017064-002/2020
EPI_ISL_1139042,2020.8387978142077,Europe,A/mute_swan/Netherlands/20017153-002/2020
EPI_ISL_1139043,2020.8579234972678,Europe,A/mute_swan/Netherlands/20017547-002/2020
EPI_ISL_1139044,2020.8579234972678,Europe,A/eurasian_oystercatcher/Netherlands/20017557-003/2020
EPI_ISL_1139045,2020.8469945355191,Europe,A/greylag_goose/Netherlands/20017476-001/2020
EPI_ISL_1139046,2020.8469945355191,Europe,A/greater_canada_goose/Netherlands/20017479-002/2020
EPI_ISL_1139047,2020.8469945355191,Europe,A/northern_lapwing/Netherlands/20017480-001/2020
EPI_ISL_1139048,2020.8551912568305,Europe,A/wild_goose/Netherlands/20017495-002/2020
EPI_ISL_1139049,2020.8333333333333,Europe,A/gadwall/Netherlands/20017254-001/2020
EPI_ISL_1139050,2020.8333333333333,Europe,A/northern_lapwing/Netherlands/20017255-001/2020
EPI_ISL_1139051,2020.8387978142077,Europe,A/greylag_goose/Netherlands/20017256-002/2020
EPI_ISL_1139076,2020.844262295082,Europe,A/common_kestrel/Netherlands/20017381-001/2020
EPI_ISL_1139078,2020.8469945355191,Europe,A/pink-footed_goose/Netherlands/20017382-001/2020
EPI_ISL_1139079,2020.8251366120219,Europe,A/barnacle_goose/Netherlands/20016888-002/2020
EPI_ISL_1139080,2020.8251366120219,Europe,A/barnacle_goose/Netherlands/20016888-003/2020
EPI_ISL_1139081,2020.8360655737704,Europe,A/greylag_goose/Netherlands/20016896-001/2020
EPI_ISL_1139082,2020.8360655737704,Europe,A/barnacle_goose/Netherlands/20016896-011/2020
EPI_ISL_1139083,2020.8360655737704,Europe,A/barnacle_goose/Netherlands/20016896-012/2020
EPI_ISL_1139084,2020.8360655737704,Europe,A/eurasian_wigeon/Netherlands/20016896-025/2020
EPI_ISL_1139085,2020.8333333333333,Europe,A/barnacle_goose/Netherlands/20016935-003/2020
EPI_ISL_1139086,2020.8497267759562,Europe,A/greater_canada_goose/Netherlands/20017403-003/2020
EPI_ISL_1139087,2020.8579234972678,Europe,A/barnacle_goose/Netherlands/20017557-001/2020
EPI_ISL_1139088,2020.8579234972678,Europe,A/barnacle_goose/Netherlands/20017557-002/2020
EPI_ISL_1139089,2020.863387978142,Europe,A/wild_duck/Netherlands/20017794-001/2020
EPI_ISL_1139090,2020.863387978142,Europe,A/common_buzzard/Netherlands/20017824-001/2020
EPI_ISL_1139091,2020.8579234972678,Europe,A/muscovy_duck/Netherlands/20017611-002/2020
EPI_ISL_1139092,2020.8524590163934,Europe,A/barnacle_goose/Netherlands/20017713-002/2020
EPI_ISL_1139093,2020.8579234972678,Europe,A/gadwall/Netherlands/20017716-001/2020
EPI_ISL_1139094,2020.8579234972678,Europe,A/mute_swan/Netherlands/20017717-002/2020
EPI_ISL_1139095,2020.8333333333333,Europe,A/great_egret/Netherlands/20017754-002/2020
EPI_ISL_1139096,2020.8333333333333,Europe,A/wild_goose/Netherlands/20017755-002/2020
EPI_ISL_1139097,2020.8415300546449,Europe,A/wild_goose/Netherlands/20017761-002/2020
EPI_ISL_1139098,2020.8579234972678,Europe,A/eurasian_wigeon/Netherlands/20017908-002/2020
EPI_ISL_1139099,2020.8661202185792,Europe,A/barnacle_goose/Netherlands/20017984-004/2020
EPI_ISL_1139100,2020.8524590163934,Europe,A/barnacle_goose/Netherlands/20017604-001/2020
