#node	date	numeric date
EPI_ISL_681281	2020-11-16	2020.874317
NODE_0000254	2020-11-23	2020.893443
EPI_ISL_14770166	2020-11-23	2020.893443
NODE_0000258	2020-12-01	2020.915301
EPI_ISL_1009702	2020-12-01	2020.915301
NODE_0000259	2020-12-05	2020.927765
NODE_0000260	2020-12-06	2020.928962
EPI_ISL_710436	2020-12-06	2020.928962
EPI_ISL_710435	2020-12-06	2020.928962
NODE_0000261	2020-12-05	2020.928363
EPI_ISL_710437	2020-12-06	2020.928962
NODE_0000262	2020-12-06	2020.928962
EPI_ISL_710434	2020-12-06	2020.928962
NODE_0000263	2020-12-08	2020.935100
NODE_0000265	2020-12-08	2020.936560
NODE_0000266	2020-12-09	2020.937158
EPI_ISL_718114	2020-12-09	2020.937158
EPI_ISL_718113	2020-12-09	2020.937158
NODE_0000267	2020-12-09	2020.937158
EPI_ISL_718120	2020-12-09	2020.937158
EPI_ISL_718115	2020-12-09	2020.937158
NODE_0000268	2020-12-08	2020.935961
NODE_0000269	2020-12-09	2020.937158
EPI_ISL_718122	2020-12-09	2020.937158
EPI_ISL_718121	2020-12-09	2020.937158
NODE_0000270	2020-12-08	2020.936560
EPI_ISL_718123	2020-12-09	2020.937158
NODE_0000272	2020-12-09	2020.937158
EPI_ISL_718112	2020-12-09	2020.937158
NODE_0000275	2020-12-09	2020.938694
NODE_0000276	2020-12-10	2020.939891
EPI_ISL_718118	2020-12-10	2020.939891
EPI_ISL_718117	2020-12-10	2020.939891
NODE_0000278	2020-12-09	2020.939292
EPI_ISL_718119	2020-12-10	2020.939891
NODE_0000280	2020-12-10	2020.939891
EPI_ISL_718116	2020-12-10	2020.939891
NODE_0000283	2020-12-11	2020.942623
EPI_ISL_985189	2020-12-11	2020.942623
NODE_0000285	2020-12-12	2020.946890
NODE_0000287	2020-12-13	2020.948087
EPI_ISL_732937	2020-12-13	2020.948087
EPI_ISL_732936	2020-12-13	2020.948087
NODE_0000288	2020-12-12	2020.947489
EPI_ISL_732938	2020-12-13	2020.948087
NODE_0000291	2020-12-13	2020.948087
EPI_ISL_732935	2020-12-13	2020.948087
NODE_0000292	2020-12-14	2020.952953
EPI_ISL_732934	2020-12-15	2020.953552
NODE_0000293	2020-12-15	2020.953552
EPI_ISL_732933	2020-12-15	2020.953552
NODE_0000296	2020-12-17	2020.960551
NODE_0000299	2020-12-18	2020.961749
EPI_ISL_738055	2020-12-18	2020.961749
EPI_ISL_738054	2020-12-18	2020.961749
NODE_0000300	2020-12-17	2020.961150
EPI_ISL_738056	2020-12-18	2020.961749
NODE_0000301	2020-12-18	2020.961749
EPI_ISL_738053	2020-12-18	2020.961749
NODE_0000302	2021-01-23	2021.060274
EPI_ISL_5260457	2021-01-23	2021.060274
NODE_0000304	2021-02-10	2021.109589
EPI_ISL_1041173	2021-02-10	2021.109589
EPI_ISL_1041172	2021-02-10	2021.109589
NODE_0000537	2019-05-18	2019.377118
NODE_0000538	2019-10-14	2019.785883
EPI_ISL_603233	2020-06-03	2020.420765
EPI_ISL_603235	2020-02-21	2020.139344
NODE_0000536	2019-05-27	2019.401284
EPI_ISL_684037	--	--
NODE_0000535	2019-11-02	2019.837015
EPI_ISL_14937233	2021-03-03	2021.167123
NODE_0000532	2020-04-03	2020.255736
NODE_0000533	2020-05-01	2020.331980
EPI_ISL_623074	2020-05-12	2020.360656
NODE_0000534	2020-08-01	2020.581967
EPI_ISL_13632084	2020-08-01	2020.581967
EPI_ISL_14874401	2020-08-01	2020.581967
NODE_0000380	2020-06-18	2020.463970
NODE_0000469	2020-07-15	2020.536383
NODE_0000382	2020-09-19	2020.715847
EPI_ISL_2932619	2020-09-23	2020.726776
EPI_ISL_615073	2020-09-19	2020.715847
NODE_0000384	2020-12-09	2020.937158
EPI_ISL_1220094	2020-12-09	2020.937158
EPI_ISL_7623511	2021-06-04	2021.421918
NODE_0000475	2020-07-15	2020.536454
NODE_0000402	2020-09-22	2020.724044
EPI_ISL_739688	2020-09-22	2020.724044
EPI_ISL_739689	2020-09-22	2020.724044
NODE_0000477	2020-07-15	2020.537077
NODE_0000405	2020-08-17	2020.625683
EPI_ISL_644135	2020-08-17	2020.625683
EPI_ISL_644155	2020-08-17	2020.625683
NODE_0000317	2020-08-15	2020.621655
EPI_ISL_615072	2020-09-25	2020.732240
NODE_0000318	2020-08-15	2020.622254
EPI_ISL_1665263	2020-11-17	2020.877049
NODE_0000319	2020-08-15	2020.622254
NODE_0000392	2020-09-12	2020.698954
EPI_ISL_5865629	2020-10-16	2020.789617
EPI_ISL_5863615	2020-10-20	2020.800546
EPI_ISL_5863491	2020-10-06	2020.762295
NODE_0000489	2020-09-29	2020.743169
EPI_ISL_5865695	2020-09-29	2020.743169
NODE_0000321	2020-10-01	2020.749906
NODE_0000322	2020-10-02	2020.751366
EPI_ISL_5865682	2020-10-02	2020.751366
EPI_ISL_5865550	2020-10-02	2020.751366
NODE_0000323	2020-10-01	2020.750768
NODE_0000324	2020-10-02	2020.751366
EPI_ISL_5865417	2020-10-02	2020.751366
EPI_ISL_5863447	2020-10-02	2020.751366
NODE_0000325	2020-10-02	2020.751366
EPI_ISL_5863358	2020-10-02	2020.751366
